REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,Hagwilget 1,2021A00055949811,4998,183,,191,,-4.2,,93,,91,,2.2,,84,,77,,9.1,,1.26,,144.7,,3917,,415,
2021-01-01,Hazelton,2021A00055949022,4999,257,,313,,-17.9,,125,,149,,-16.1,,113,,127,,-11.0,,2.89,,89.1,,3649,,379,
2021-01-01,Iskut 6,2021A00055949832,5000,478,,295,,62.0,,101,,124,,-18.5,,99,,100,,-1.0,,0.58,,822.3,,2989,,328,
2021-01-01,Kispiox 1,2021A00055949813,5001,578,,599,,-3.5,,211,,217,,-2.8,,198,,200,,-1.0,,12.31,,47.0,,2758,,311,
2021-01-01,Kitamaat 2,2021A00055949803,5002,507,,525,,-3.4,,211,,197,,7.1,,187,,184,,1.6,,1.51,,335.3,,2925,,322,
2021-01-01,Kitasoo 1,2021A00055949802,5003,217,,292,,-25.7,,128,,103,,24.3,,96,,87,,10.3,,3.09,,70.3,,3803,,404,
2021-01-01,Kitimat,2021A00055949005,5004,8236,,8131,,1.3,,4381,,4244,,3.2,,3604,,3500,,3.0,,239.28,,34.4,,500,,71,
2021-01-01,Kitimat-Stikine A,2021A00055949039,5005,48,,20,,140.0,,51,,15,,240.0,,22,,9,,144.4,,25253.67,,0.0,,4521,,528,
2021-01-01,Kitimat-Stikine B,2021A00055949028,5006,1455,,1473,,-1.2,,742,,751,,-1.2,,641,,655,,-2.1,,7382.17,,0.2,,1696,,246,
2021-01-01,Kitimat-Stikine C (Part 1),2021A00055949013,5007,2978,,2834,,5.1,,1431,,1411,,1.4,,1205,,1136,,6.1,,9635.77,,0.3,,1052,,161,
2021-01-01,Kitimat-Stikine C (Part 2),2021A00055949020,5008,0,,5,,-100.0,,0,,2,,-100.0,,0,,2,,-100.0,,17986.66,,0.0,,4831,,644,
2021-01-01,Kitimat-Stikine D,2021A00055949041,5009,74,,99,r,-25.3,,44,,83,r,-47.0,,32,,41,r,-22.0,,28105.99,,0.0,,4387,,495,
2021-01-01,Kitimat-Stikine E,2021A00055949018,5010,3932,,3993,,-1.5,,1808,,1818,,-0.6,,1713,,1710,,0.2,,16.49,,238.5,,866,,131,
2021-01-01,Kitimat-Stikine F,2021A00055949038,5011,326,,360,,-9.4,,239,,211,,13.3,,139,,162,,-14.2,,12956.41,,0.0,,3428,,360,
2021-01-01,Kitselas 1,2021A00055949844,5012,291,,269,,8.2,,82,,79,,3.8,,81,,75,,8.0,,4.74,,61.4,,3539,,373,
2021-01-01,Kitsumkaylum 1,2021A00055949804,5013,315,,334,,-5.7,,113,,111,,1.8,,106,,106,,0.0,,4.86,,64.9,,3458,,367,
2021-01-01,Kshish 4,2021A00055949805,5014,0,,0,,,...,0,,1,,-100.0,,0,,0,,,...,2.59,,0.0,,4831,,644,
2021-01-01,Kulspai 6,2021A00055949807,5015,73,,87,,-16.1,,27,,28,,-3.6,,22,,25,,-12.0,,0.07,,1022.4,,4396,,496,
2021-01-01,Moricetown 1,2021A00055949817,5016,253,,306,,-17.3,,99,,102,,-2.9,,89,,96,,-7.3,,5.73,,44.1,,3666,,382,
2021-01-01,New Hazelton,2021A00055949024,5017,602,,580,,3.8,,305,,296,,3.0,,266,,264,,0.8,,24.34,,24.7,,2714,,307,
2021-01-01,Nisga'a,2021A00055949035,5018,1794,,1880,,-4.6,,642,,677,,-5.2,,572,,571,,0.2,,2001.25,,0.9,,1483,,216,
2021-01-01,Sik-e-dakh 2,2021A00055949818,5019,209,,236,,-11.4,,75,,81,,-7.4,,68,,70,,-2.9,,4.40,,47.5,,3841,,408,
2021-01-01,Stewart,2021A00055949032,5020,517,,401,,28.9,,337,,292,,15.4,,256,,187,,36.9,,551.57,,0.9,,2896,,319,
2021-01-01,Tahltan 1,2021A00055949846,5021,0,,0,,,...,16,,16,,0.0,,0,,0,,,...,1.55,,0.0,,4831,,644,
2021-01-01,Telegraph Creek,2021A00055949847,5022,51,,53,r,-3.8,,24,,37,r,-35.1,,20,,22,r,-9.1,,0.49,,103.8,,4504,,523,
2021-01-01,Terrace,2021A00055949011,5023,12017,,11643,,3.2,,5200,,4906,,6.0,,4873,,4627,,5.3,,57.33,,209.6,,358,,55,
2021-01-01,Kootenay Boundary,2021A00035905,5024,33152,,31447,,5.4,,18998,,18321,,3.7,,15190,,14339,,5.9,,8080.76,,4.1,,169,,22,
2021-01-01,Fruitvale,2021A00055905005,5025,1958,,1920,,2.0,,881,,864,,2.0,,858,,821,,4.5,,2.70,,724.7,,1404,,206,
2021-01-01,Grand Forks,2021A00055905032,5026,4112,,4049,,1.6,,1969,,1944,,1.3,,1871,,1867,,0.2,,10.37,,396.4,,842,,124,
2021-01-01,Greenwood,2021A00055905042,5027,702,,665,,5.6,,448,,416,,7.7,,375,,346,,8.4,,2.42,,290.2,,2519,,298,
2021-01-01,Kootenay Boundary A,2021A00055905026,5028,1624,,1891,,-14.1,,721,,790,,-8.7,,692,,785,,-11.8,,238.18,,6.8,,1583,,233,
2021-01-01,Kootenay Boundary B / Lower Columbia-Old-Glory,2021A00055905030,5029,1422,,1442,,-1.4,,696,,714,,-2.5,,667,,672,,-0.7,,776.31,,1.8,,1720,,249,
2021-01-01,Kootenay Boundary C / Christina Lake,2021A00055905050,5030,1627,,1337,,21.7,,1400,,1366,,2.5,,797,,638,,24.9,,529.57,,3.1,,1581,,232,
2021-01-01,Kootenay Boundary D / Rural Grand Forks,2021A00055905052,5031,3226,,3225,,0.0,,1523,,1496,,1.8,,1423,,1436,,-0.9,,2117.85,,1.5,,992,,154,
2021-01-01,Kootenay Boundary E / West Boundary,2021A00055905054,5032,3004,,2155,,39.4,,3709,,3235,,14.7,,1417,,1013,,39.9,,4293.14,,0.7,,1047,,160,
2021-01-01,Midway,2021A00055905037,5033,651,,649,,0.3,,340,,321,,5.9,,324,,294,,10.2,,12.23,,53.2,,2615,,304,
2021-01-01,Montrose,2021A00055905009,5034,1013,,996,,1.7,,435,,427,,1.9,,429,,427,,0.5,,1.46,,693.1,,2095,,275,
2021-01-01,Rossland,2021A00055905023,5035,4140,,3729,,11.0,,2075,,1949,,6.5,,1803,,1591,,13.3,,59.72,,69.3,,838,,122,
2021-01-01,Trail,2021A00055905014,5036,7920,,7709,,2.7,,3973,,3990,,-0.4,,3736,,3681,,1.5,,34.90,,226.9,,519,,76,
2021-01-01,Warfield,2021A00055905018,5037,1753,,1680,,4.3,,828,,809,,2.3,,798,,768,,3.9,,1.89,,929.3,,1510,,221,
2021-01-01,Mount Waddington,2021A00035943,5038,10839,,11035,,-1.8,,5743,,5963,,-3.7,,4876,,4850,,0.5,,20186.47,,0.5,,269,,26,
2021-01-01,Alert Bay,2021A00055943008,5039,449,,479,r,-6.3,,266,,278,r,-4.3,,219,,226,r,-3.1,,1.69,,265.3,,3050,,334,
2021-01-01,Alert Bay,2021A00055943837,5040,382,,460,r,-17.0,,175,,194,r,-9.8,,161,,185,r,-13.0,,2.50,,153.1,,3237,,347,
2021-01-01,Dead Point 5,2021A00055943807,5041,22,,10,,120.0,,8,,7,,14.3,,7,,5,,40.0,,0.42,,52.7,,4649,,566,
2021-01-01,Fort Rupert 1,2021A00055943804,5042,58,,27,,114.8,,28,,15,,86.7,,26,,15,,73.3,,0.05,,1205.8,,4465,,510,
2021-01-01,Gwayasdums 1,2021A00055943808,5043,38,,27,,40.7,,20,,20,,0.0,,20,,13,,53.8,,0.32,,119.5,,4566,,540,
2021-01-01,Hope Island 1,2021A00055943836,5044,0,,0,,,...,0,,7,,-100.0,,0,,1,,-100.0,,36.65,,0.0,,4831,,644,
2021-01-01,Hopetown 10A,2021A00055943809,5045,0,,0,,,...,2,,0,,,...,1,,0,,,...,0.03,,0.0,,4831,,644,
2021-01-01,Kippase 2,2021A00055943815,5046,220,,228,,-3.5,,85,,86,,-1.2,,81,,82,,-1.2,,0.14,,1578.2,,3784,,401,
2021-01-01,Mount Waddington A,2021A00055943037,5047,695,,724,r,-4.0,,496,,511,r,-2.9,,363,,369,r,-1.6,,12666.41,,0.1,,2534,,300,
2021-01-01,Mount Waddington B,2021A00055943027,5048,35,,60,,-41.7,,103,,193,,-46.6,,25,,32,,-21.9,,2579.60,,0.0,,4577,,542,
2021-01-01,Mount Waddington C,2021A00055943031,5049,764,,750,,1.9,,431,,405,,6.4,,340,,337,,0.9,,1505.03,,0.5,,2416,,291,
2021-01-01,Mount Waddington D,2021A00055943033,5050,371,,394,r,-5.8,,222,,243,r,-8.6,,171,,177,r,-3.4,,3331.05,,0.1,,3277,,350,
2021-01-01,Nimpkish 2,2021A00055943835,5051,0,,10,r,-100.0,,0,,3,r,-100.0,,0,,3,r,-100.0,,0.03,,0.0,,4831,,644,
2021-01-01,Port Alice,2021A00055943017,5052,739,,664,,11.3,,538,,559,,-3.8,,415,,340,,22.1,,7.03,,105.1,,2462,,295,
2021-01-01,Port Hardy,2021A00055943023,5053,3902,,4132,r,-5.6,,1984,,2092,r,-5.2,,1791,,1847,r,-3.0,,38.55,,101.2,,876,,134,
2021-01-01,Port McNeill,2021A00055943012,5054,2356,,2337,,0.8,,1111,,1109,,0.2,,1019,,1010,,0.9,,13.77,,171.1,,1245,,185,
2021-01-01,Quaee 7,2021A00055943813,5055,111,,78,,42.3,,50,,45,,11.1,,36,,33,,9.1,,2.05,,54.2,,4208,,449,
2021-01-01,Quatsino Subdivision 18,2021A00055943816,5056,246,,224,,9.8,,92,,80,,15.0,,84,,72,,16.7,,0.24,,1018.2,,3696,,385,
2021-01-01,Thomas Point 5,2021A00055943817,5057,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.19,,0.0,,4831,,644,
2021-01-01,Thomas Point 5A,2021A00055943826,5058,0,,0,r,,...,0,,1,r,-100.0,,0,,1,r,-100.0,,0.13,,0.0,,4831,,644,
2021-01-01,Tsulquate 4,2021A00055943806,5059,451,,431,,4.6,,132,,115,,14.8,,117,,102,,14.7,,0.60,,753.0,,3043,,332,
2021-01-01,Nanaimo,2021A00035921,5060,170367,,155698,,9.4,,80056,,73622,,8.7,,75273,,68904,,9.2,,2035.93,,83.7,,35,,5,
2021-01-01,Lantzville,2021A00055921008,5061,3817,,3605,,5.9,,1568,,1517,,3.4,,1520,,1452,,4.7,,27.68,,137.9,,891,,138,
2021-01-01,Nanaimo,2021A00055921007,5062,99863,,90504,,10.3,,45138,,40885,,10.4,,43164,,39165,,10.2,,90.45,,1104.1,,57,,11,
2021-01-01,Nanaimo A,2021A00055921010,5063,7481,,7058,,6.0,,3249,,3116,,4.3,,3127,,2990,,4.6,,60.18,,124.3,,547,,77,
2021-01-01,Nanaimo B,2021A00055921014,5064,4500,,4033,,11.6,,3062,,2987,,2.5,,2375,,2143,,10.8,,58.02,,77.6,,790,,110,
2021-01-01,Nanaimo C,2021A00055921016,5065,3344,,2808,,19.1,,1288,,1097,,17.4,,1236,,1058,,16.8,,1097.77,,3.0,,960,,147,
2021-01-01,Nanaimo E,2021A00055921030,5066,6765,,6125,,10.4,,3342,,3066,,9.0,,3073,,2814,,9.2,,74.83,,90.4,,597,,80,
2021-01-01,Nanaimo F,2021A00055921032,5067,8216,,7724,,6.4,,3877,,3530,,9.8,,3673,,3373,,8.9,,264.11,,31.1,,503,,72,
2021-01-01,Nanaimo G,2021A00055921034,5068,8109,,7526,r,7.7,,3779,,3579,r,5.6,,3577,,3392,r,5.5,,49.31,,164.4,,509,,74,
2021-01-01,Nanaimo H,2021A00055921036,5069,4291,,3884,,10.5,,2524,,2436,,3.6,,2004,,1828,,9.6,,277.14,,15.5,,817,,116,
2021-01-01,Nanaimo River,2021A00055921807,5070,323,,371,,-12.9,,109,,102,,6.9,,96,,101,,-5.0,,2.29,,140.9,,3436,,362,
2021-01-01,Nanaimo Town 1,2021A00055921804,5071,386,,360,,7.2,,128,,125,,2.4,,119,,116,,2.6,,0.20,,1911.8,,3218,,346,
2021-01-01,Nanoose,2021A00055921805,5072,245,,230,,6.5,,88,,86,,2.3,,86,,81,,6.2,,0.71,,347.4,,3701,,386,
2021-01-01,Parksville,2021A00055921018,5073,13642,,12453,r,9.5,,7105,,6419,r,10.7,,6754,,6056,r,11.5,,14.52,,939.5,,322,,49,
2021-01-01,Qualicum,2021A00055921806,5074,82,,74,,10.8,,36,,33,,9.1,,34,,32,,6.3,,0.74,,110.3,,4337,,484,
2021-01-01,Qualicum Beach,2021A00055921023,5075,9303,,8943,,4.0,,4763,,4644,,2.6,,4435,,4303,,3.1,,17.98,,517.5,,455,,63,
2021-01-01,North Okanagan,2021A00035937,5076,91610,,84344,r,8.6,,42722,,39965,r,6.9,,38821,,35872,r,8.2,,7497.23,,12.2,,72,,8,
2021-01-01,Armstrong,2021A00055937028,5077,5323,,5114,,4.1,,2292,,2143,,7.0,,2217,,2132,,4.0,,5.22,,1020.0,,701,,94,
2021-01-01,Coldstream,2021A00055937010,5078,11171,,10648,,4.9,,4341,,4159,,4.4,,4100,,3915,,4.7,,66.57,,167.8,,386,,58,
2021-01-01,Enderby,2021A00055937033,5079,3028,,2964,,2.2,,1508,,1443,,4.5,,1436,,1391,,3.2,,4.26,,710.4,,1040,,159,
2021-01-01,Enderby 2,2021A00055937802,5080,440,,316,,39.2,,186,,148,,25.7,,161,,125,,28.8,,22.99,,19.1,,3077,,337,
2021-01-01,Harris 3,2021A00055937805,5081,0,,5,,-100.0,,2,,2,,0.0,,2,,2,,0.0,,0.51,,0.0,,4831,,644,
2021-01-01,Lumby,2021A00055937005,5082,2063,,1833,,12.5,,861,,836,,3.0,,836,,770,,8.6,,5.93,,347.7,,1355,,201,
2021-01-01,North Okanagan B,2021A00055937017,5083,3274,,3203,,2.2,,1480,,1533,,-3.5,,1286,,1284,,0.2,,487.80,,6.7,,982,,152,
2021-01-01,North Okanagan C,2021A00055937021,5084,4511,,3870,r,16.6,,2317,,2244,r,3.3,,1717,,1496,r,14.8,,300.14,,15.0,,788,,109,
2021-01-01,North Okanagan D,2021A00055937022,5085,2909,,2672,,8.9,,1264,,1236,,2.3,,1170,,1106,,5.8,,1790.98,,1.6,,1062,,164,
2021-01-01,North Okanagan E,2021A00055937023,5086,1092,,1010,,8.1,,508,,461,,10.2,,451,,431,,4.6,,2604.05,,0.4,,2007,,269,
2021-01-01,North Okanagan F,2021A00055937041,5087,4362,,4000,,9.1,,2325,,2301,,1.0,,1789,,1737,,3.0,,1767.29,,2.5,,806,,114,
2021-01-01,Okanagan (Part) 1,2021A00055937801,5088,3244,,2859,r,13.5,,2015,,1895,r,6.3,,1616,,1380,r,17.1,,89.79,,36.1,,989,,153,
2021-01-01,Priest's Valley 6,2021A00055937803,5089,367,,628,,-41.6,,237,,304,,-22.0,,228,,303,,-24.8,,0.36,,1024.9,,3292,,351,
2021-01-01,Spallumcheen,2021A00055937024,5090,5307,,5106,,3.9,,2099,,2089,,0.5,,2036,,2001,,1.7,,254.92,,20.8,,704,,96,
2021-01-01,Vernon,2021A00055937014,5091,44519,,40116,r,11.0,,21287,,19171,r,11.0,,19776,,17799,r,11.1,,96.43,,461.7,,116,,22,
2021-01-01,Northern Rockies,2021A00035959,5092,4478,,5393,,-17.0,,2523,,2593,,-2.7,,1918,,2182,,-12.1,,84858.88,,0.1,,287,,27,
2021-01-01,Fontas 1,2021A00055959805,5093,5,,5,r,0.0,,1,,2,r,-50.0,,1,,2,r,-50.0,,0.13,,38.9,,4760,,610,
2021-01-01,Fort Nelson 2,2021A00055959806,5094,419,,425,r,-1.4,,203,,179,r,13.4,,179,,153,r,17.0,,95.58,,4.4,,3119,,340,
2021-01-01,Kahntah 3,2021A00055959809,5095,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.08,,0.0,,4831,,644,
2021-01-01,Northern Rockies,2021A00055959007,5096,3947,,4862,r,-18.8,,2268,,2355,r,-3.7,,1692,,1982,r,-14.6,,84759.31,,0.0,,865,,130,
2021-01-01,Prophet River 4,2021A00055959810,5097,107,,101,r,5.9,,51,,57,r,-10.5,,46,,45,r,2.2,,3.79,,28.2,,4225,,453,
2021-01-01,Okanagan-Similkameen,2021A00035907,5098,90178,,83022,,8.6,,46436,,42894,,8.3,,40981,,37673,,8.8,,10406.64,,8.7,,73,,9,
2021-01-01,Alexis 9,2021A00055907808,5099,10,,10,,0.0,,4,,6,,-33.3,,4,,5,,-20.0,,1.88,,5.3,,4722,,592,
2021-01-01,Ashnola 10,2021A00055907809,5100,58,,83,,-30.1,,30,,28,,7.1,,27,,28,,-3.6,,35.91,,1.6,,4465,,510,
2021-01-01,Blind Creek 6,2021A00055907806,5101,26,,26,,0.0,,10,,10,,0.0,,10,,9,,11.1,,1.58,,16.5,,4622,,558,
2021-01-01,Chopaka 7 & 8,2021A00055907805,5102,86,,81,,6.2,,32,,27,,18.5,,32,,27,,18.5,,16.98,,5.1,,4321,,478,
2021-01-01,Chuchuwayha 2,2021A00055907807,5103,86,,58,,48.3,,35,,28,,25.0,,33,,27,,22.2,,21.38,,4.0,,4321,,478,
2021-01-01,Keremeos,2021A00055907009,5104,1608,,1502,,7.1,,852,,782,,9.0,,809,,732,,10.5,,2.09,,768.3,,1590,,234,
2021-01-01,Lower Similkameen 2,2021A00055907801,5105,76,,58,,31.0,,25,,20,,25.0,,21,,19,,10.5,,12.98,,5.9,,4369,,492,
2021-01-01,Lulu 5,2021A00055907850,5106,15,,20,r,-25.0,,13,,11,r,18.2,,9,,10,r,-10.0,,0.21,,73.1,,4694,,580,
2021-01-01,Okanagan-Similkameen A,2021A00055907022,5107,2139,,1858,,15.1,,1050,,963,,9.0,,873,,801,,9.0,,258.04,,8.3,,1326,,196,
2021-01-01,Okanagan-Similkameen B,2021A00055907026,5108,1151,,1047,,9.9,,512,,488,,4.9,,469,,448,,4.7,,238.78,,4.8,,1946,,265,
2021-01-01,Okanagan-Similkameen C,2021A00055907028,5109,3986,,3557,,12.1,,1837,,1651,,11.3,,1699,,1527,,11.3,,444.75,,9.0,,859,,128,
2021-01-01,Okanagan-Similkameen D,2021A00055907047,5110,4016,,3757,r,6.9,,2098,,2002,r,4.8,,1845,,1724,r,7.0,,583.93,,6.9,,857,,127,
2021-01-01,Okanagan-Similkameen E,2021A00055907049,5111,2015,,1903,,5.9,,1088,,1002,,8.6,,894,,827,,8.1,,491.90,,4.1,,1373,,202,
2021-01-01,Okanagan-Similkameen F,2021A00055907051,5112,2092,,2014,,3.9,,852,,835,,2.0,,797,,760,,4.9,,568.86,,3.7,,1342,,197,
2021-01-01,Okanagan-Similkameen G,2021A00055907053,5113,2298,,2134,r,7.7,,1314,,1242,r,5.8,,1136,,1055,r,7.7,,2110.68,,1.1,,1263,,190,
2021-01-01,Okanagan-Similkameen H,2021A00055907055,5114,2232,,1933,r,15.5,,2058,,1902,r,8.2,,1060,,912,r,16.2,,4757.22,,0.5,,1291,,194,
2021-01-01,Okanagan-Similkameen I,2021A00055907048,5115,2307,,2219,r,4.0,,1609,,1524,r,5.6,,971,,920,r,5.5,,344.36,,6.7,,1258,,187,
2021-01-01,Oliver,2021A00055907014,5116,5094,,4928,,3.4,,2445,,2249,,8.7,,2312,,2157,,7.2,,5.49,,927.9,,720,,98,
2021-01-01,Osoyoos,2021A00055907005,5117,5556,,5050,r,10.0,,3279,,3048,r,7.6,,2647,,2402,r,10.2,,8.41,,660.7,,690,,91,
2021-01-01,Osoyoos 1,2021A00055907802,5118,1426,,762,,87.1,,878,,449,,95.5,,565,,353,,60.1,,130.34,,10.9,,1714,,247,
2021-01-01,Penticton,2021A00055907041,5119,36885,,33761,,9.3,,18457,,16895,,9.2,,17361,,15740,,10.3,,43.03,,857.3,,134,,25,
2021-01-01,Penticton 1,2021A00055907803,5120,2080,,1783,,16.7,,1011,,854,,18.4,,946,,786,,20.4,,194.55,,10.7,,1350,,199,
2021-01-01,Princeton,2021A00055907024,5121,2894,,2828,,2.3,,1521,,1535,,-0.9,,1377,,1393,,-1.1,,59.28,,48.8,,1070,,167,
2021-01-01,Summerland,2021A00055907035,5122,12042,,11615,,3.7,,5426,,5240,,3.5,,5084,,4938,,3.0,,74.04,,162.6,,357,,54,
2021-01-01,Peace River,2021A00035955,5123,61532,,62942,,-2.2,,28683,,28746,,-0.2,,24902,,24264,,2.6,,117216.74,,0.5,,108,,15,
2021-01-01,Blueberry River 205,2021A00055955803,5124,145,,197,,-26.4,,69,,71,,-2.8,,69,,65,,6.2,,13.13,,11.0,,4077,,437,
2021-01-01,Chetwynd,2021A00055955010,5125,2302,,2503,,-8.0,,1271,,1294,,-1.8,,993,,1005,,-1.2,,63.55,,36.2,,1261,,188,
2021-01-01,Dawson Creek,2021A00055955014,5126,12323,,12178,,1.2,,6189,,6020,,2.8,,5405,,5035,,7.3,,26.72,,461.1,,349,,50,
2021-01-01,Doig River 206,2021A00055955804,5127,85,,118,,-28.0,,54,,55,,-1.8,,54,,51,,5.9,,11.35,,7.5,,4327,,480,
2021-01-01,East Moberly Lake 169,2021A00055955801,5128,297,,381,,-22.0,,130,,131,,-0.8,,130,,125,,4.0,,31.08,,9.6,,3519,,370,
2021-01-01,Finlay River 6,2021A00055955840,5129,229,,0,r,,...,116,,0,r,,...,102,,0,r,,...,9.49,,24.1,,3753,,396,
2021-01-01,Fort St. John,2021A00055955034,5130,21465,,20260,r,5.9,,10004,,9524,r,5.0,,8777,,7977,r,10.0,,32.67,,656.9,,210,,34,
2021-01-01,Fort Ware 1,2021A00055955807,5131,242,,332,,-27.1,,125,,128,,-2.3,,119,,109,,9.2,,3.62,,66.9,,3715,,390,
2021-01-01,Halfway River 168,2021A00055955808,5132,247,,172,,43.6,,75,,61,,23.0,,75,,59,,27.1,,40.27,,6.1,,3691,,384,
2021-01-01,Hudson's Hope,2021A00055955025,5133,841,,1015,,-17.1,,460,,545,,-15.6,,378,,446,,-15.2,,826.70,,1.0,,2317,,284,
2021-01-01,Ingenika Point,2021A00055955812,5134,0,,234,,-100.0,,0,,101,,-100.0,,0,,77,,-100.0,,5.56,,0.0,,4831,,644,
2021-01-01,Mesilinka 7,2021A00055955850,5135,0,,0,r,,...,0,,0,r,,...,0,,0,r,,...,4.27,,0.0,,4831,,644,
2021-01-01,Peace River B,2021A00055955040,5136,5379,,5628,,-4.4,,1835,,1741,,5.4,,1622,,1645,,-1.4,,85959.79,,0.1,,698,,92,
2021-01-01,Peace River C,2021A00055955042,5137,5947,,6667,r,-10.8,,2440,,2620,r,-6.9,,2273,,2431,r,-6.5,,568.14,,10.5,,654,,87,
2021-01-01,Peace River D,2021A00055955021,5138,4793,,5920,,-19.0,,2044,,2450,,-16.6,,1820,,2241,,-18.8,,11688.01,,0.4,,759,,105,
2021-01-01,Peace River E,2021A00055955023,5139,2660,,2949,,-9.8,,1316,,1430,,-8.0,,1088,,1199,,-9.3,,16336.91,,0.2,,1139,,171,
2021-01-01,Pouce Coupe,2021A00055955005,5140,762,,792,,-3.8,,345,,368,,-6.3,,317,,338,,-6.2,,2.06,,370.3,,2424,,292,
2021-01-01,Taylor,2021A00055955030,5141,1317,,1469,,-10.3,,610,,593,,2.9,,542,,557,,-2.7,,16.92,,77.8,,1799,,256,
2021-01-01,Tumbler Ridge,2021A00055955003,5142,2399,,1987,,20.7,,1551,,1568,,-1.1,,1093,,861,,26.9,,1557.41,,1.5,,1225,,181,
2021-01-01,West Moberly Lake 168A,2021A00055955802,5143,99,,140,,-29.3,,49,,46,,6.5,,45,,43,,4.7,,19.09,,5.2,,4260,,461,
2021-01-01,Powell River,2021A00035927,5144,21496,,20070,,7.1,,11921,,11400,,4.6,,10057,,9412,,6.9,,5067.89,,4.2,,212,,24,
2021-01-01,Powell River,2021A00055927008,5145,13943,,13157,,6.0,,6718,,6354,,5.7,,6402,,6078,,5.3,,28.91,,482.4,,312,,48,
2021-01-01,Sechelt (Part),2021A00055927806,5146,21,,21,,0.0,,17,,17,,0.0,,11,,9,,22.2,,0.24,,86.6,,4652,,567,
2021-01-01,Sliammon 1,2021A00055927802,5147,797,,707,,12.7,,365,,345,,5.8,,338,,305,,10.8,,8.14,,98.0,,2376,,290,
2021-01-01,qathet A,2021A00055927010,5148,1250,,1105,,13.1,,1418,,1593,,-11.0,,636,,550,,15.6,,3886.89,,0.3,,1846,,258,
2021-01-01,qathet B,2021A00055927012,5149,1664,,1541,,8.0,,908,,851,,6.7,,758,,694,,9.2,,128.61,,12.9,,1560,,226,
2021-01-01,qathet C,2021A00055927016,5150,2197,,2064,,6.4,,1241,,1110,,11.8,,1020,,955,,6.8,,642.05,,3.4,,1302,,195,
2021-01-01,qathet D,2021A00055927018,5151,1126,,1076,,4.6,,748,,723,,3.5,,598,,581,,2.9,,299.75,,3.8,,1971,,268,
2021-01-01,qathet E,2021A00055927020,5152,498,,399,,24.8,,506,,407,,24.3,,294,,240,,22.5,,73.32,,6.8,,2945,,325,
2021-01-01,Skeena-Queen Charlotte,2021A00035947,5153,18181,,18133,,0.3,,9082,,8911,,1.9,,7661,,7413,,3.3,,19710.30,,0.9,,235,,25,
2021-01-01,Dolphin Island 1,2021A00055947807,5154,295,,353,,-16.4,,158,,143,,10.5,,106,,112,,-5.4,,15.09,,19.5,,3525,,371,
2021-01-01,Kulkayu (Hartley Bay) 4,2021A00055947806,5155,58,,52,,11.5,,33,,37,,-10.8,,17,,15,,13.3,,1.14,,51.0,,4465,,510,
2021-01-01,Kulkayu (Hartley Bay) 4A,2021A00055947802,5156,66,,29,r,127.6,,26,,34,r,-23.5,,21,,6,r,250.0,,0.51,,129.6,,4423,,499,
2021-01-01,Lax Kw'alaams 1,2021A00055947809,5157,627,,646,,-2.9,,316,,290,,9.0,,216,,220,,-1.8,,108.84,,5.8,,2664,,305,
2021-01-01,Masset,2021A00055947023,5158,838,,793,,5.7,,518,,464,,11.6,,399,,367,,8.7,,20.69,,40.5,,2320,,285,
2021-01-01,Masset 1,2021A00055947803,5159,475,,555,,-14.4,,241,,273,,-11.7,,195,,220,,-11.4,,3.16,,150.4,,2998,,329,
2021-01-01,North Coast A,2021A00055947016,5160,45,,41,,9.8,,46,,44,,4.5,,29,,24,,20.8,,2928.16,,0.0,,4529,,531,
2021-01-01,North Coast C,2021A00055947021,5161,31,,85,r,-63.5,,72,,74,r,-2.7,,17,,36,r,-52.8,,6484.78,,0.0,,4590,,548,
2021-01-01,North Coast D,2021A00055947027,5162,580,,468,r,23.9,,327,,273,r,19.8,,254,,200,r,27.0,,6418.04,,0.1,,2750,,310,
2021-01-01,North Coast E,2021A00055947032,5163,325,,340,,-4.4,,251,,229,,9.6,,161,,162,,-0.6,,3408.85,,0.1,,3432,,361,
2021-01-01,Port Clements,2021A00055947030,5164,340,,282,,20.6,,205,,174,,17.8,,181,,153,,18.3,,13.07,,26.0,,3384,,355,
